IDW IDB ODW ODB number_of_trials correlation_count correlation is_significant
0 1 2 1 67108864 33583092 0.000854134559631 1
0 1 2 2 67108864 33550616 -0.000113725662231 0
0 1 2 3 67108864 33561845 0.000220924615860 0
0 1 2 4 67108864 33549195 -0.000156074762344 0
0 1 2 5 67108864 33555487 0.000031441450119 0
0 1 2 6 67108864 33547983 -0.000192195177078 0
0 1 2 7 67108864 33553431 -0.000029832124710 0
0 1 2 8 67108864 33559433 0.000149041414261 0
0 1 2 9 67108864 33552877 -0.000046342611313 0
0 1 2 10 67108864 33549290 -0.000153243541718 0
0 1 2 11 67108864 33642532 0.002625584602356 1
0 1 2 12 67108864 33549159 -0.000157147645950 0
0 1 2 13 67108864 33800052 0.007320046424866 1
0 1 2 14 67108864 33553188 -0.000037074089050 0
0 1 2 15 67108864 33550694 -0.000111401081085 0
0 1 2 16 67108864 33673443 0.003546804189682 1
0 1 2 17 67108864 35303869 0.052137285470963 1
0 1 2 18 67108864 33551942 -0.000074207782745 0
0 1 2 19 67108864 33603850 0.001472771167755 1
0 1 2 20 67108864 33552662 -0.000052750110626 0
0 1 2 21 67108864 33793814 0.007134139537811 1
0 1 2 22 67108864 34847921 0.038548976182938 1
0 1 2 23 67108864 33550455 -0.000118523836136 0
0 1 2 24 67108864 33682644 0.003821015357971 1
0 1 2 25 67108864 33556776 0.000069856643677 0
0 1 2 26 67108864 33555242 0.000024139881134 0
0 1 2 27 67108864 33453295 -0.003014117479324 1
0 1 2 28 67108864 33554795 0.000010818243027 0
0 1 2 29 67108864 33177876 -0.011222243309021 1
0 1 2 30 67108864 33557027 0.000077337026596 0
0 1 2 31 67108864 33552949 -0.000044196844101 0
0 1 3 0 67108864 33554815 0.000011414289474 0
0 1 3 1 67108864 33554636 0.000006079673767 0
0 1 3 2 67108864 33561614 0.000214040279388 0
0 1 3 3 67108864 33546907 -0.000224262475967 0
0 1 3 4 67108864 33551133 -0.000098317861557 0
0 1 3 5 67108864 33554978 0.000016272068024 0
0 1 3 6 67108864 33550686 -0.000111639499664 0
0 1 3 7 67108864 33553783 -0.000019341707230 0
0 1 3 8 67108864 33557065 0.000078469514847 0
0 1 3 9 67108864 33552245 -0.000065177679062 0
0 1 3 10 67108864 33560439 0.000179022550583 0
0 1 3 11 67108864 33555214 0.000023305416107 0
0 1 3 12 67108864 33557650 0.000095903873444 0
0 1 3 13 67108864 33549149 -0.000157445669174 0
0 1 3 14 67108864 33551004 -0.000102162361145 0
0 1 3 15 67108864 33559551 0.000152558088303 0
0 1 3 16 67108864 33556453 0.000060230493546 0
0 1 3 17 67108864 33554050 -0.000011384487152 0
0 1 3 18 67108864 33559635 0.000155061483383 0
0 1 3 19 67108864 33552091 -0.000069767236710 0
0 1 3 20 67108864 33562840 0.000250577926636 0
0 1 3 21 67108864 33601307 0.001396983861923 1
0 1 3 22 67108864 34005248 0.013435363769531 1
0 1 3 23 67108864 33555102 0.000019967556000 0
0 1 3 24 67108864 33536225 -0.000542610883713 1
0 1 3 25 67108864 33545051 -0.000279575586319 0
0 1 3 26 67108864 33550793 -0.000108450651169 0
0 1 3 27 67108864 33562669 0.000245481729507 0
0 1 3 28 67108864 33550545 -0.000115841627121 0
0 1 3 29 67108864 33573077 0.000555664300919 1
0 1 3 30 67108864 33552821 -0.000048011541367 0
0 1 3 31 67108864 33552142 -0.000068247318268 0
0 2 0 0 67108864 33560835 0.000190824270248 0
0 2 0 1 67108864 33553531 -0.000026851892471 0
0 2 0 2 67108864 33552890 -0.000045955181122 0
0 2 0 3 67108864 33556927 0.000074356794357 0
0 2 0 4 67108864 33548794 -0.000168025493622 0
0 2 0 5 67108864 33555710 0.000038087368011 0
0 2 0 6 67108864 33553245 -0.000035375356674 0
0 2 0 7 67108864 33847150 0.008723676204681 1
0 2 0 8 67108864 33561127 0.000199526548386 0
0 2 0 9 67108864 33569726 0.000455796718597 0
0 2 0 10 67108864 33561939 0.000223726034164 0
0 2 0 11 67108864 33558871 0.000132292509079 0
0 2 0 12 67108864 33519809 -0.001031845808029 1
0 2 0 13 67108864 33549609 -0.000143736600876 0
0 2 0 14 67108864 33812550 0.007692515850067 1
0 2 0 15 67108864 35281013 0.051456123590469 1
0 2 0 16 67108864 33555901 0.000043779611588 0
0 2 0 17 67108864 33635704 0.002422094345093 1
0 2 0 18 67108864 32597027 -0.028532892465591 1
0 2 0 19 67108864 33551462 -0.000088512897491 0
0 2 0 20 67108864 33548809 -0.000167578458786 0
0 2 0 21 67108864 33556562 0.000063478946686 0
0 2 0 22 67108864 33822502 0.007989108562469 1
0 2 0 23 67108864 34686123 0.033727020025253 1
0 2 0 24 67108864 33551562 -0.000085532665253 0
0 2 0 25 67108864 33574362 0.000593960285187 1
0 2 0 26 67108864 33556025 0.000047475099564 0
0 2 0 27 67108864 33548840 -0.000166654586792 0
0 2 0 28 67108864 33540026 -0.000429332256317 0
0 2 0 29 67108864 33554317 -0.000003427267075 0
0 2 0 30 67108864 33644165 0.002674251794815 1
0 2 0 31 67108864 33568347 0.000414699316025 0
0 2 1 0 67108864 33550192 -0.000126361846924 0
0 2 1 1 67108864 33556933 0.000074535608292 0
0 2 1 2 67108864 33557495 0.000091284513474 0
0 2 1 3 67108864 33558525 0.000121980905533 0
0 2 1 4 67108864 33559764 0.000158905982971 0
0 2 1 5 67108864 33558863 0.000132054090500 0
0 2 1 6 67108864 33513412 -0.001222491264343 1
0 2 1 7 67108864 34039378 0.014452517032623 1
0 2 1 8 67108864 33555633 0.000035792589188 0
0 2 1 9 67108864 33681734 0.003793895244598 1
0 2 1 10 67108864 33555490 0.000031530857086 0
0 2 1 11 67108864 33549900 -0.000135064125061 0
0 2 1 12 67108864 33526103 -0.000844269990921 1
0 2 1 13 67108864 33556450 0.000060141086578 0
0 2 1 14 67108864 33347412 -0.006169676780701 1
0 2 1 15 67108864 33554209 -0.000006645917892 0
0 2 1 16 67108864 33555627 0.000035613775253 0
0 2 1 17 67108864 33560841 0.000191003084183 0
0 2 1 18 67108864 33550178 -0.000126779079437 0
0 2 1 19 67108864 33553211 -0.000036388635635 0
0 2 1 20 67108864 33555915 0.000044196844101 0
0 2 1 21 67108864 33555296 0.000025749206543 0
0 2 1 22 67108864 33554813 0.000011354684830 0
0 2 1 23 67108864 33553173 -0.000037521123886 0
0 2 1 24 67108864 33557063 0.000078409910202 0
0 2 1 25 67108864 33547761 -0.000198811292648 0
0 2 1 26 67108864 33559736 0.000158071517944 0
0 2 1 27 67108864 33559553 0.000152617692947 0
0 2 1 28 67108864 33546319 -0.000241786241531 0
0 2 1 29 67108864 33551671 -0.000082284212112 0
0 2 1 30 67108864 33545653 -0.000261634588242 0
0 2 1 31 67108864 33556455 0.000060290098190 0
0 2 2 0 67108864 33561923 0.000223249197006 0
0 2 2 1 67108864 33554841 0.000012189149857 0
0 2 2 2 67108864 33585590 0.000928580760956 1
0 2 2 3 67108864 33559494 0.000150859355927 0
0 2 2 4 67108864 33555900 0.000043749809265 0
0 2 2 5 67108864 33549177 -0.000156611204147 0
0 2 2 6 67108864 33542302 -0.000361502170563 0
0 2 2 7 67108864 33556765 0.000069528818130 0
0 2 2 8 67108864 33548297 -0.000182837247849 0
0 2 2 9 67108864 33563572 0.000272393226624 0
0 2 2 10 67108864 33553872 -0.000016689300537 0
0 2 2 11 67108864 33547746 -0.000199258327484 0
0 2 2 12 67108864 33644764 0.002692103385925 1
0 2 2 13 67108864 33555746 0.000039160251617 0
0 2 2 14 67108864 33796934 0.007227122783661 1
0 2 2 15 67108864 33554542 0.000003278255463 0
0 2 2 16 67108864 33551122 -0.000098645687103 0
0 2 2 17 67108864 33675598 0.003611028194427 1
0 2 2 18 67108864 34799661 0.037110716104507 1
0 2 2 19 67108864 33557530 0.000092327594757 0
0 2 2 20 67108864 33594599 0.001197069883347 1
0 2 2 21 67108864 33553157 -0.000037997961044 0
0 2 2 22 67108864 33792637 0.007099062204361 1
0 2 2 23 67108864 34842764 0.038395285606384 1
0 2 2 24 67108864 33557163 0.000081390142441 0
0 2 2 25 67108864 33690519 0.004055708646774 1
0 2 2 26 67108864 33558242 0.000113546848297 0
0 2 2 27 67108864 33562047 0.000226944684982 0
0 2 2 28 67108864 33446145 -0.003227204084396 1
0 2 2 29 67108864 33554794 0.000010788440704 0
0 2 2 30 67108864 33170961 -0.011428326368332 1
0 2 2 31 67108864 33550872 -0.000106096267700 0
0 2 3 0 67108864 33555634 0.000035822391510 0
0 2 3 1 67108864 33548881 -0.000165432691574 0
0 2 3 2 67108864 33555647 0.000036209821701 0
0 2 3 3 67108864 33554331 -0.000003010034561 0
0 2 3 4 67108864 33559119 0.000139683485031 0
0 2 3 5 67108864 33554083 -0.000010401010513 0
0 2 3 6 67108864 33548155 -0.000187069177628 0
0 2 3 7 67108864 33552344 -0.000062227249146 0
0 2 3 8 67108864 33555120 0.000020503997803 0
0 2 3 9 67108864 33554035 -0.000011831521988 0
0 2 3 10 67108864 33559846 0.000161349773407 0
0 2 3 11 67108864 33554267 -0.000004917383194 0
0 2 3 12 67108864 33549472 -0.000147819519043 0
0 2 3 13 67108864 33551225 -0.000095576047897 0
0 2 3 14 67108864 33553241 -0.000035494565964 0
0 2 3 15 67108864 33548831 -0.000166922807693 0
0 2 3 16 67108864 33555483 0.000031322240829 0
0 2 3 17 67108864 33550807 -0.000108033418655 0
0 2 3 18 67108864 33552107 -0.000069290399551 0
0 2 3 19 67108864 33552552 -0.000056028366089 0
0 2 3 20 67108864 33552742 -0.000050365924835 0
0 2 3 21 67108864 33562047 0.000226944684982 0
0 2 3 22 67108864 33600054 0.001359641551971 1
0 2 3 23 67108864 33979308 0.012662291526794 1
0 2 3 24 67108864 33552873 -0.000046461820602 0
0 2 3 25 67108864 33530146 -0.000723779201508 1
0 2 3 26 67108864 33548472 -0.000177621841431 0
0 2 3 27 67108864 33555183 0.000022381544113 0
0 2 3 28 67108864 33559047 0.000137537717819 0
0 2 3 29 67108864 33558071 0.000108450651169 0
0 2 3 30 67108864 33563233 0.000262290239334 0
0 2 3 31 67108864 33550634 -0.000113189220428 0
0 3 0 0 67108864 33599037 0.001329332590103 1
0 3 0 1 67108864 33553276 -0.000034451484680 0
0 3 0 2 67108864 33550549 -0.000115722417831 0
0 3 0 3 67108864 33556311 0.000055998563766 0
0 3 0 4 67108864 33552631 -0.000053673982620 0
0 3 0 5 67108864 33548440 -0.000178575515747 0
0 3 0 6 67108864 33556331 0.000056594610214 0
0 3 0 7 67108864 33556694 0.000067412853241 0
0 3 0 8 67108864 33844040 0.008630990982056 1
0 3 0 9 67108864 33560010 0.000166237354279 0
0 3 0 10 67108864 33556619 0.000065177679062 0
0 3 0 11 67108864 33553167 -0.000037699937820 0
